Bind		 | (Server) | 	Tue Jul  2 18:58:06 2019

Listen		 | (Server) | 	Tue Jul  2 18:58:06 2019

Epol_create	 | (Server) | 	Tue Jul  2 18:58:06 2019

Epol_ctl	 | (Server) | 	Tue Jul  2 18:58:06 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

Connect		 |(Client 0)| 	Tue Jul  2 18:58:09 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Accept		 | (Server) | 	Tue Jul  2 18:58:06 2019

Send message	 |(Client 0)| 	Tue Jul  2 18:58:09 2019

processed all incoming connections.	 | (Server) | 	Tue Jul  2 18:58:06 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" |(Client 0)| 	Tue Jul  2 18:58:09 2019

Disonnect	 |(Client 0)| 	Tue Jul  2 18:58:09 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

Connect		 |(Client 1)| 	Tue Jul  2 18:58:09 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Accept		 | (Server) | 	Tue Jul  2 18:58:06 2019

Send message	 |(Client 1)| 	Tue Jul  2 18:58:09 2019

processed all incoming connections.	 | (Server) | 	Tue Jul  2 18:58:06 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" |(Client 1)| 	Tue Jul  2 18:58:09 2019

Disonnect	 |(Client 1)| 	Tue Jul  2 18:58:09 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Connect		 |(Client 2)| 	Tue Jul  2 18:58:09 2019

Send message	 |(Client 2)| 	Tue Jul  2 18:58:09 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Accept		 | (Server) | 	Tue Jul  2 18:58:06 2019

processed all incoming connections.	 | (Server) | 	Tue Jul  2 18:58:06 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" |(Client 2)| 	Tue Jul  2 18:58:09 2019

Disonnect	 |(Client 2)| 	Tue Jul  2 18:58:09 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Connect		 |(Client 3)| 	Tue Jul  2 18:58:09 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

Send message	 |(Client 3)| 	Tue Jul  2 18:58:09 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Accept		 | (Server) | 	Tue Jul  2 18:58:06 2019

processed all incoming connections.	 | (Server) | 	Tue Jul  2 18:58:06 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" |(Client 3)| 	Tue Jul  2 18:58:09 2019

Disonnect	 |(Client 3)| 	Tue Jul  2 18:58:09 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Connect		 |(Client 4)| 	Tue Jul  2 18:58:09 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Send message	 |(Client 4)| 	Tue Jul  2 18:58:09 2019

Accept		 | (Server) | 	Tue Jul  2 18:58:06 2019

processed all incoming connections.	 | (Server) | 	Tue Jul  2 18:58:06 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" |(Client 4)| 	Tue Jul  2 18:58:09 2019

Disonnect	 |(Client 4)| 	Tue Jul  2 18:58:09 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Connect		 |(Client 5)| 	Tue Jul  2 18:58:09 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

Send message	 |(Client 5)| 	Tue Jul  2 18:58:09 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Accept		 | (Server) | 	Tue Jul  2 18:58:06 2019

processed all incoming connections.	 | (Server) | 	Tue Jul  2 18:58:06 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" |(Client 5)| 	Tue Jul  2 18:58:09 2019

Disonnect	 |(Client 5)| 	Tue Jul  2 18:58:09 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Connect		 |(Client 6)| 	Tue Jul  2 18:58:09 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Send message	 |(Client 6)| 	Tue Jul  2 18:58:09 2019

Accept		 | (Server) | 	Tue Jul  2 18:58:06 2019

processed all incoming connections.	 | (Server) | 	Tue Jul  2 18:58:06 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" |(Client 6)| 	Tue Jul  2 18:58:09 2019

Disonnect	 |(Client 6)| 	Tue Jul  2 18:58:09 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Connect		 |(Client 7)| 	Tue Jul  2 18:58:09 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

Send message	 |(Client 7)| 	Tue Jul  2 18:58:09 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Accept		 | (Server) | 	Tue Jul  2 18:58:06 2019

processed all incoming connections.	 | (Server) | 	Tue Jul  2 18:58:06 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" |(Client 7)| 	Tue Jul  2 18:58:09 2019

Disonnect	 |(Client 7)| 	Tue Jul  2 18:58:09 2019

Connect		 |(Client 8)| 	Tue Jul  2 18:58:09 2019

Send message	 |(Client 8)| 	Tue Jul  2 18:58:09 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Accept		 | (Server) | 	Tue Jul  2 18:58:06 2019

processed all incoming connections.	 | (Server) | 	Tue Jul  2 18:58:06 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" |(Client 8)| 	Tue Jul  2 18:58:09 2019

Disonnect	 |(Client 8)| 	Tue Jul  2 18:58:09 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Connect		 |(Client 9)| 	Tue Jul  2 18:58:09 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Send message	 |(Client 9)| 	Tue Jul  2 18:58:09 2019

Accept		 | (Server) | 	Tue Jul  2 18:58:06 2019

processed all incoming connections.	 | (Server) | 	Tue Jul  2 18:58:06 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" | (Server) | 	Tue Jul  2 18:58:06 2019

Recv : "Hello SERVER!" |(Client 9)| 	Tue Jul  2 18:58:09 2019

Disonnect	 |(Client 9)| 	Tue Jul  2 18:58:09 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Buffer		 | (Server) | 	Tue Jul  2 18:58:06 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

Connect		 |(Client 10)| 	Tue Jul  2 18:58:09 2019

Accept		 | (Server) | 	Tue Jul  2 18:58:06 2019

processed all incoming connections.	 | (Server) | 	Tue Jul  2 18:58:06 2019

Send message	 |(Client 10)| 	Tue Jul  2 18:58:09 2019

Epol_wait	 | (Server) | 	Tue Jul  2 18:58:06 2019

i = 0		 | (Server) | 	Tue Jul  2 18:58:06 2019

